
time,npos,epos,alt,phi,theta,psi,vel,alpha,beta,p,q,r,nx,ny,nz,mach,qbar,ps,

 0.00000, 0.00000, 0.00000,5000.00000, 0.00000,-0.33235, 0.00000,1000.00000,-0.33235, 0.00000, 0.00000, 0.00000, 0.00000,-0.00580,-0.00751, 0.99996, 0.91165,1024.85580,1760.28927,6534.02778,-1.16644,-0.10516,-0.05753,
 0.10000,100.00000,-0.00119,5000.00000, 0.00014,-0.33235,-0.00006,1000.00001,-0.33235,-0.00129, 0.00402,-0.00002,-0.00179,-0.00580,-0.00716, 0.99995, 0.91165,1024.85582,1760.28927,6534.02778,-1.16644,-0.10516,-0.05753,
 0.20000,200.00000,-0.00468,4999.99998, 0.00094,-0.33236,-0.00045,1000.00003,-0.33235,-0.00220, 0.01203,-0.00008,-0.00639,-0.00579,-0.00693, 0.99995, 0.91165,1024.85586,1760.28927,6534.02778,-1.16644,-0.10516,-0.05753,
 0.30000,300.00001,-0.01041,4999.99996, 0.00253,-0.33237,-0.00138,1000.00006,-0.33235,-0.00254, 0.01929,-0.00015,-0.01225,-0.00579,-0.00686, 0.99994, 0.91165,1024.85592,1760.28927,6534.02778,-1.16644,-0.10516,-0.05753,
 0.40000,400.00001,-0.01833,4999.99992, 0.00469,-0.33239,-0.00289,1000.00009,-0.33236,-0.00230, 0.02289,-0.00021,-0.01775,-0.00579,-0.00695, 0.99993, 0.91165,1024.85599,1760.28928,6534.02778,-1.16644,-0.10516,-0.05753,
 0.50000,500.00002,-0.02846,4999.99986, 0.00697,-0.33241,-0.00487,1000.00012,-0.33237,-0.00162, 0.02173,-0.00023,-0.02151,-0.00579,-0.00715, 0.99992, 0.91165,1024.85604,1760.28928,6534.02778,-1.16644,-0.10516,-0.05753,
 0.60000,600.00003,-0.04085,4999.99978, 0.00892,-0.33243,-0.00711,1000.00013,-0.33238,-0.00071, 0.01638,-0.00022,-0.02280,-0.00580,-0.00741, 0.99992, 0.91165,1024.85608,1760.28929,6534.02778,-1.16644,-0.10516,-0.05753,
 0.70000,700.00005,-0.05558,4999.99968, 0.01019,-0.33245,-0.00935,1000.00014,-0.33239, 0.00017, 0.00854,-0.00018,-0.02157,-0.00580,-0.00764, 0.99992, 0.91165,1024.85610,1760.28929,6534.02778,-1.16644,-0.10516,-0.05753,
 0.80000,800.00006,-0.07270,4999.99956, 0.01065,-0.33247,-0.01136,1000.00015,-0.33239, 0.00079, 0.00061,-0.00014,-0.01838,-0.00580,-0.00780, 0.99992, 0.91165,1024.85612,1760.28930,6534.02778,-1.16644,-0.10516,-0.05753,
 0.90000,900.00007,-0.09227,4999.99942, 0.01039,-0.33248,-0.01299,1000.00017,-0.33239, 0.00101,-0.00545,-0.00011,-0.01426,-0.00580,-0.00784, 0.99992, 0.91165,1024.85617,1760.28931,6534.02778,-1.16644,-0.10516,-0.05753,
